,Title,new_genres,kw_Rake_p3,clean_Plot,full_model_9_beams,full_model_3_beams
27,The Soul's Cycle,drama,"lover, wrong, arthur","Nadia, the daughter of a nobleman, rejects ancient Greece's senator Theron's love so he has her and her lover, Lucian thrown into a burning crater. As punishment for this sin, the gods decree that he will roam the earth as a lion until he can right his wrong. A few millennia later, Nadia is now Agnes, the daughter of a millionaire, and Lucian is Arthur, a Wall Street broker.","The Soul's Cycle tells the story of Arthur, a man who has lost his wife and lover in a car accident. Arthur's life is turned upside down when he discovers that he has been wrongly accused of murdering his wife. In the end, Arthur is convicted and sentenced to death.","The film follows the life of Arthur, a young man who has a crush on his former lover. Arthur's life is turned upside down when he discovers that he has been cheating on his wife and that something is wrong with him. The film is based on the true story of Arthur."
151,A Sailor-Made Man,comedy,"relaxing, marry, box, strikes, accepts, blame, yacht, approval, sends, khairpura-bhandanna","The Boy (Lloyd) is an idle playboy and heir to $20,000,000, relaxing at an exclusive resort. When he sees The Girl (Mildred Davis), surrounded by a flock of admirers, he suddenly asks her to marry him. Taken aback, she sends him to get the approval of her father, a tough, hardworking steel magnate. The girl's father knows and disapproves of the Boy's indolence, and demands that he first get a job to prove that he can do something. The Boy sees a recruiting poster and applies to join the United States Navy. When the magnate decides to take a long cruise on his yacht, he tells his daughter to bring along her friends. She invites the Boy, but he finds he cannot get out of his three-year enlistment.Aboard ship, he makes an enemy of intimidating sailor Rough-House O'Rafferty (Noah Young), but when O'Rafferty throws a box at the Boy and strikes a passing officer, the Boy steps up and accepts the blame. He and O'Rafferty then become good friends.The Girl and her friends stop off at the port of Agar Shahar Khairpura, the City of a Thousand Rascals, in the country of Khairpura-Bhandanna, to sightsee, just as the Boy and O'Rafferty get shore leave there. The Girl is delighted to see the Boy and rushes into his arms. However, she has also attracted the attention of the Maharajah of Khairpura-Bhandanna (Dick Sutherland). The potentate has her kidnapped and taken to his palace. The Boy rushes to her rescue and single-handedly manages to outwit the Maharajah and his guards and escape with the Girl.Later, the Boy uses signal flags from his ship to ask with the Girl on her father's yacht, Will you? With her father's approval, she sends a signal back, I will.","The Stooges are sailor-made men who spend their days relaxing on a tropical island. One day, they meet a beautiful woman who tells them that she wants to marry a wealthy man. When they arrive at the island, they are greeted by a box of diamonds. She strikes up a friendship with the boxer, who accepts the blame for the theft. Then, a gang of gangsters kidnap her and take her to a nearby island. They are rescued by the island's villagers, and the villagers take their place. The villagers are shocked to find that the diamonds have been placed in the sands of Khairpura-Bhandanna, where they find a treasure chest. They find the treasure chest and, with the help of the pirates, rescue it. The pirates get the yacht's owner's approval and send him to the island.","The Stooges are sailor-made men who spend their days relaxing on a tropical island. One day, they meet a beautiful woman who tells them that she wants to marry him. Then, one day, a man arrives at the island and tells her that he wants to get married. She tells him that she would like to marry a rich man, but he refuses to marry her. He then goes to the island, where he finds a box. He strikes up a friendship with her, and she accepts the blame. The man, however, is a crooked thief, and he is thrown out of the island. The crooks are arrested and sentenced to be hanged. He is rescued by the villagers, but is later found guilty of the crime. He returns to his yacht with his approval, and sends a message to his wife."
192,Broken Hearts of Hollywood,"comedy, drama","fringe, enrolls, film, completed, mother, hal","Virginia Perry leaves her husband and child to return to Hollywood but having dissipated her beauty and seeking solace in drink, she soon finds herself another has been on the fringe of movie circles. Her daughter, Betty Anne, wins a national beauty contest, and en route to Hollywood she meets Hal, another contest winner both fail in their first screen attempts and turn to Marshall, an unscrupulous trickster, who enrolls them in his acting school. Molly, a movie extra, induces Betty Anne to attend a wild party she is arrested in a raid and Hal, to raise the money for her bail, takes a stunt job in which he is badly hurt. Betty Anne seeks the aid of star actor McLain, who obtains for her the leading female role in his next film Virginia, who is cast as her mother, keeps silent about their relationship until the film is completed. Apprehensive for her daughter's safety, she shoots Marshall while in a drunken stupor and is arrested. At the trial, Betty Anne's testimony saves her mother, who is then happily united with her daughter and Hal.","The film is set in Los Angeles on the fringe of the Los Angeles film industry. It is based on the true story of a young woman, Hal, who enrolls in a film school. The film has just been completed. Hal's mother is also a Hollywood actress.",The film is set in Los Angeles on the fringe of the film industry. Hal is a young film director who enrolls in a prestigious film school. The film has just been completed. It is based on a true story. Hal's mother. is the film's star actress. She is also the mother of a successful film director.
302,Road to Paradise,drama,"thieves, closely, open, shocked, find, woman, charges, dropped, proposal, marriage","Loretta Young plays the part of an orphan who has been raised by two thieves (Raymond Hatton and George Barraud) and does not know that she has a twin sister who is now a wealthy socialite (Loretta Young as Margaret Waring). One day, while she is dining at a Chinese restaurant with her two guardians, they notice the wealthy socialite and are taken aback at how closely she resembles Young. Hatton and Barraud convince Young that she should impersonate the socialite so that they can enter her house and steal the contents of her safe. Young enters the house and meet Jack Mulhall who senses something different about Waring and immediately falls in love with Young. When night falls, Young lets Hatton and Barraud into the house and they attempt to open the safe. Waring happens to enter the house and is shocked to find a woman that looks like her. She is wounded by Barraud and Young tricks the police into thinking that Waring is an imposter and thief. Even though Mulhall knows the truth, he keeps quiet because he is in love with Young. Eventually Young discovers that Waring is her twin sister when they discover that they have matching lockets. The charges against Waring are dropped and Young accepts Mulhall's proposal of marriage.","The film tells the story of a group of thieves on a road trip from New York City to Paradise, Florida. During their trip, the thieves steal a car belonging to a wealthy businessman and steal it closely. The thieves then steal the car and take it back to the United States. When the thieves arrive at the U.S., they are shocked to find that the woman is not the woman they were looking for. The thief is arrested and charged with the theft. The charges are dropped, and the two propose marriage.","The film opens with a young woman, Maria, being kidnapped by two thieves. Maria's father, John, watches her closely. John is a thief, and Maria has a crush on John. John's brother, a wealthy businessman, tries to get Maria to marry him, but she is unable to do so.Joe's mother, meanwhile, is in love with Maria, and she wants to marry John, but John is not interested in her. John and Maria are attracted to each other, and when John is about to open his eyes, he is shocked to find out that Maria is actually a woman. She is able to convince John to marry her, but he refuses to marry Maria.John and Maria go on a road trip, and they are arrested by the police, who arrest the woman.John is convicted of murder and sentenced to life in prison, but Maria is free to return to the United States with John, who has been released from prison. Mary and John are reunited, and John is released. Mary's parents are also arrested, and the charges are dropped. John accepts a proposal for marriage to Maria."
395,Discarded Lovers,mystery,"car, finished, film, administer, ex-husband","Discarded Lovers is a murder mystery. Early in the film a blonde bombshell movie star is murdered and her body is found in a car. She had just finished doing the last and final scenes in a film. Irma Gladden was a sexy blonde bombshell who was having many tangled romantic affairs. She was loose and easy. In solving the murder there are the usual friends, police, reporters and employees who administer their help to the police captain and the police sergeant. In this whodunit suspects abound and include Irmas husband, a jealous wife, a boy friend and an ex-husband.","The film begins with a woman being robbed of her car by a gangster. She is rescued by police and taken to a mental hospital, where she is reunited with her ex-husband, who has finished the film. The film then moves on to the next scene, where a police detective is assigned to administer the case.","The film begins with a woman stealing a car from a drug dealer. The woman is later found dead in the trunk of the car. The police are called to the scene to find the woman, but the police are not finished yet. The film then moves on to the next scene, where the detectives are asked to administer a psychiatric ward to the ex-husband of the woman."
399,It's Tough to Be Famous,comedy,"rescued, hero, speeches, endorsements, banquets, thing, freedom, life","When his submarine, S89, is sunk by an excursion boat, Scotty (Douglas Fairbanks, Jr.) is the last one left aboard after helping the crew to be rescued. However, navy divers are able to save Scotty and his heroics make him a hero. Retiring from the navy as a commander, he finds that, as a hero, he is in great demand. There are parades. Speeches, endorsements, banquets and autographs galore. Even his marriage to his sweetheart Janet (Mary Brian) is headline news. Everyone wants a piece of Scotty. The only thing that Scotty does not have in his freedom and a life of his own.","It's Tough to Be Famous tells the story of a young man who is rescued from a drug smuggling ring by a ruthless drug lord. The film begins with a hero's speech and endorsements at banquets. After the speech, he is reunited with his wife and children. The movie then moves on to the next thing, the freedom of his life.","The film is about a young man who is rescued from a drug-induced coma. He is a hero. He has a reputation for being a snobbish sex addict. He gets a job as a prostitute, and becomes a radio star. His career is ruined when he is raped by a mobster, and he loses his virginity. He becomes famous by giving speeches and endorsements at banquets. He also loses a star in a movie, and is convicted of the murder of a woman. The film ends with a scene in which he and his girlfriend are reunited, and they do the same thing about freedom of life."
410,The Painted Woman,thriller,"ship, dumps, marry, guilty","After becoming involved in a killing, Kiddo gets on board Boyton's ship. When he learns what happened he dumps her on a South Sea island. Tom Brian marries her, and when Boynton returns he's furious (he wanted to marry her). When Boyton is killed Kiddo is accused of the crime and even Tom thinks she's guilty.","A woman is murdered on a ship. She dumps her body in a secluded cabin. She escapes from the cabin and goes to marry a wealthy man. She is convicted and sentenced to death, but is found not guilty.","A shipwrecked woman is killed by a ship's stewardess. She dumps it in a secluded cabin. She escapes from the cabin, but is captured by the police and sentenced to marry him. She is found guilty."
463,The Sphinx,mystery,"office, time, breed, police-records, girl-colleague, newspaper-people","A man comes out of the office of Garfield Investment Company. He meets the janitor in the stairs and asks him for a match, and then what time it is. It's nine the Italian-American janitor Luigi Bacciagalupi (Luis Alberni) answers and wants to know from which apartment he came out. The man leaves without answering. Short after the janitor finds a dead man in the office of Garfield Investment Company. Newspaperman Burton (Theodore Newton) from the Chronicle is there to talk with the inspector. Before he can see him he talks with the watching police officer and after a while he realizes that the Garfield Investment Company just that morning went bankrupt. Another broker went down the flush. The janitor recognizes on the police-records the man that came out from the office, Mr. Breed. During the trial he sticks to what he has seen and what he has heard, though two different doctors testify that Mr. Breed is deaf and mute since birth.Young chronicle newspaperman Jerry Crane, in love with his good looking girl-colleague, has a feeling that Breed is a strange guy and tries to convince her not to go for interview to his house. Meantime a young broker tells him he has a hint, if he gets enough money for it. Breed comes to see the young broker before at half past eight the Burton comes to his house. A second time Mr. Breed asks for the time after seeing his victim. The puzzling case has the parallel love story of the two newspaper-people of the Chronicle. While Burton, that wants to marry Crane, is skeptical about Breed, Crane is fascinated and dedicates him a series of articles. When Inspector Riley thinks he saw Breed hearing the playing of the piano when they are in his house, the next morning a third dead man is on the list.","The sphinx is the story of a girl-colleague who is murdered by a man in her office. She is rescued by the newspaper-people and is given the task of finding the man who murdered her for the first time. The police-records show that the man's name is the Sphinx, and that he is the son of the man responsible for the murder. The woman is a woman who has a crush on the man, and she is the daughter of one of the paper-people. When the man is found dead, he tries to kill her, but is unable to kill himself. The man is convicted of murder and sentenced to be hanged for the crime, but he escapes with the help of the woman's father, who is now a police officer. During the trial, the woman is found to have sex with the man she loves, and is able to breed a beautiful lion. The lion is then killed by the police, and the police have no record of the lion's breed of lions. Eventually, a lion appears in the courtroom, and he and his lion are found dead. Afterwards, the police are called in to solve the murder, but the girl's lion turns out to be the man whose lion was smugg","The film begins with a girl-colleague of a newspaper-people being robbed of her office by a sphinx-like creature. When the police arrive, they discover that the creature has been reincarnated for a time. The police then begin to breed the Sphinx, a strange beast that is smuggled into the city by the police-records. Then, the police discover the creature is a hybrid of the zoo and a woman's body, and the girl's father, who is also a policeman, is attempting to smuggle the creature out of the city. As the police investigate the creature, they find that it is not a human being, but a creature that can be used to eat human flesh. The girl-girlfriend of the girl-Colleague's, who has sworn to be a man, is killed in a car crash, and she is rescued by the paper-people, who believe that she is the one who killed her father."
469,The Warrior's Husband,comedy,"natures, women, hercules, girdle, diana, complete, escape, girdle, battle, 1930s","In Pontus, the land of the Amazons, the gender roles and natures are completely reversed. Women are the strong sex, thanks to the sacred girdle of the goddess Diana (Roman names are used). It is in the care of queen Hippolyta and her sister Antiope (in the 1932 production played by Katharine Hepburn), the commander of the female armed forces. The men stay at home and take care of the children. Only Sapiens, the new husband of queen Hippolyta, advocates men's rights.Just like the relationships are reversed, so too are the Greeks for the Amazons a legendary race that probably doesn't exist, instead of the other way around. This is about to change when two Greeks come to court to announce that Hercules needs to get the girdle of Diana to complete his twelve labours. In reality, Hercules may not be much of a threat, but his friend Theseus certainly is. Meanwhile, Sapiens, using his male wiles, is secretly trying to wreck the Amazon's defense from within. Eventually he manages to capture Hercules, and let him escape with the girdle. Without it, the Amazons lose the battle and the gender dynamic shifts to roles matching the social mores of the 1930s.","The film focuses on the natures of the American Civil War. The plot revolves around a young man, Hercules, who is in love with a woman, Diana. who has a crush on him, and her husband, Girdle. who wants Diana to complete her husband's armoury. However, Diana's husband, Herod. is not so sure he wants Diana, so he enlists the aid of Diana to help him escape. The film is based on the true story of Gildle's battle with Diana in the 1930s.","The film follows the natures of the American Civil War. The plot revolves around a man named Girdle, who is a hero of the women's army. He has a wife, Diane. and a son, Hercules. He is accompanied by a girdle's daughter, Diana. who is complete with her husband's armor. When the hero is killed in a battle, he is forced to escape. The film is based on the true story of the Girdles and their battle in the United States during the 1930s."
513,Thunder Over Texas,western,"sniper, spend, cahoots","The film opens with an apparent bank robbery terminated when the driver of the alleged getaway car is fatally shot by a sniper. Inside the car is the late driver's daughter, Tiny Norton who is adopted by rancher Ted Wright and his Three Stooges type ranch hands, Tom, Dick and Harry, the Three Radio Nuts who spend their time impersonating radio stars. The robbery and assassination of Tiny's father was orchestrated by a cruel and corrupt banker in cahoots with a crooked sheriff.","During the Civil War, a sniper is shot dead in a Texas town. The townsfolk decide to spend the rest of their money on a cattle ranch. The cattle ranch is in cahoots with the local sheriff.","A sniper is on the loose in Texas. He wants to spend the rest of his life in a Texas ranch. But he has to choose between his wife and his best friend, who is in cahoots with him."
542,The Last Outpost,"drama, war","imprisoned, disguise, massacred, stevenson, back, haydonrevealed, battle, dies, hero, death","In Kurdistan during World War I, Michael Andrews (Cary Grant) is a British officer captured by Kurds, imprisoned, and awaiting execution. The local Turkish commander (Claude Raines) helps Andrews escape and confides that he is a British intelligence officer (initially Smith, later named as John Stevenson) in disguise. The two set out to warn friendly villagers of a pending Kurdish attack. After a difficult river crossing, and after Andrews flirts with a married tribal woman, Stevenson returns to espionage. Andrews, who has hurt his leg, goes to Cairo for medical treatment. There, Andrews falls in love with his nurse, Rosemary Haydon (Gertrude Michael), who ultimately refuses Andrews by saying she's secretly married to an unnamed man she'd known briefly a few years before.Andrews transfers to the Sudan, where his patrol takes over a fort after finding that its troops had been massacred. Meanwhile Stevenson goes back to Haydonrevealed as his wifewho confesses her love for Andrews. Stevenson requests a transfer to the Sudan to confront Andrews. Shortly after Stevenson reaches the fort, thousands of African tribesman attack it. Realizing that a handful of men can't hold the fort, Andrews, Stevenson, and their troops set out over sand dunes and eventually enter the jungle with the tribesmen in hot pursuit. British troops appear out of nowhere, deus ex machina, defeat the tribesmen, and rescue Andrews. Stevenson, mortally wounded in the battle, dies a hero's death, presumably leaving Andrews free to marry widow Haydon.","The film tells the story of a British officer who is imprisoned in a German bunker during World War II. He is disguised as a US Army officer and is sentenced to death by a U.S. Army prisoner-of-war camp. During a raid on the camp, he is captured by the Germans and taken to a concentration camp. There he learns that the camp was occupied by the Nazis, and that he was a spy for the British in disguise. He learns the camp has been massacred by Stevenson, who is about to go back to the United States. When the camp is recaptured, Haydonrevealed. Upon his return to the camp he discovers he has been captured and taken back to his camp. The film ends with a climactic battle between the British and American forces. He dies in battle and dies a hero's death.","The film begins with a group of American soldiers being imprisoned by the U.S. Army during the Second World War. They are captured and taken to the United States, where they disguise themselves as American soldiers. The American soldiers are then captured and executed by the British. The British are able to recover the prisoners and return them to their home base in the South Pacific. The prisoners are then massacred by Captain Stevenson, who is then sent back to his home base. Haydonrevealed, the prisoners are sent to a boarding house where they are greeted by a host of British soldiers. During a battle, he dies of a heart attack. The film ends with Haydon as the hero's death."
